,count,mean,std,min,25%,50%,75%,max
network_load,500.0,0.44688,0.10502345190909411,0.21,0.3675,0.45,0.53,0.68
relay_reputation,500.0,0.8026599999999999,0.10782382089642997,0.5,0.76,0.82,0.89,0.95
budget_utilization,500.0,0.05546000000000001,0.04835146459267302,0.0,0.0,0.05,0.1,0.15
recent_win_rate,500.0,0.018708000000000002,0.009827711015674772,0.005,0.012,0.017,0.023,0.061
final_prob,500.0,0.10641944445008684,0.054300727961444646,0.013258405157706585,0.05739224711944177,0.10633188653377787,0.15259540480560757,0.2149440277348173
